DOE_SCHOOL_CODE	SCHOOL_NAME	RFS_BUSHFIRE_CATEGORY
2225	Jerangle Public School	Buffer
2231	Jerrys Plains Public School	Category 2
2235	Jiggi Public School	Category 1
2235	Jiggi Public School	Category 2
2236	Jilliby Public School	Buffer
2243	Johns River Public School	Buffer
2255	Kangaloon Public School	Category 1
2256	Kangaroo Valley Public School	Category 1
2260	Karangi Public School	Category 1
2271	Keiraville Public School	Buffer
2280	Kendall Public School	Buffer
2284	Kenthurst Public School	Category 1
2285	Kentlyn Public School	Buffer
2286	Kentucky Public School	Category 1
2304	Kincumber Public School	Category 1
2315	Kitchener Public School	Category 1
2330	Kororo Public School	Category 1
2333	Krambach Public School	Buffer
2333	Krambach Public School	Buffer
2334	Kulnura Public School	Category 1
2340	Kurmond Public School	Category 1
2342	Kurrajong Public School	Category 1
2343	Kurrajong East Public School	Category 1
2344	Kurrajong North Public School	Category 1
2353	Ladysmith Public School	Category 1
2356	Laguna Public School	Category 1
2357	Lake Albert Public School	Buffer
2362	Lake Munmorah Public School	Category 1
2370	Lansdowne Public School	Category 1
2375	Larnook Public School	Category 1
2391	Leura Public School	Category 2
2404	Lindfield East Public School	Category 2
2407	Lisarow Public School	Category 2
2413	Llandilo Public School	Category 2
2428	Lowanna Public School	Buffer
2429	Lowesdale Public School	Category 1
2431	Luddenham Public School	Buffer
2439	Macdonald Valley Public School	Category 1
2464	Manifold Public School	Category 2
2472	Maraylya Public School	Category 1
2480	Maroota Public School	Buffer
2489	Marsden Park Public School	Buffer
2493	Martins Creek Public School	Category 2
2496	Marulan Public School	Category 1
2512	Medowie Public School	Buffer
2515	Megalong Public School	Category 1
2520	Menai Public School	Category 1
2522	Mendooran Central School	Category 2
2532	Bonnells Bay Public School	Category 1
2550	Milbrodale Public School	Buffer
2553	Millbank Public School	Buffer
2555	Millfield Public School	Category 2
2565	Milton Public School	Category 2
2571	Minmi Public School	Buffer
2580	Mitchells Island Public School	Category 1
2581	Mittagong Public School	Buffer
2584	Moama Public School	Category 1
2585	Modanville Public School	Buffer
2621	Morisset Public School	Category 1
2637	Mount George Public School	Category 1
2642	Mount Keira Public School	Buffer
2643	Mount Kembla Public School	Category 1
2652	Mount Victoria Public School	Buffer
2658	Mulbring Public School	Category 1
2659	Mulgoa Public School	Category 1
2662	Mullengandra Public School	Category 2
2664	Mullion Creek Public School	Category 2
2668	Clergate Public School	Category 2
2671	Mummulgum Public School	Category 2
2696	Nambucca Heads Public School	Buffer
2698	Nana Glen Public School	Category 1
2699	Nangus Public School	Category 2
2701	Naradhan Public School	Category 1
2703	Narara Public School	Category 1
2704	Narellan Public School	Category 1
2710	Narrandera Public School	Category 1
2723	Tomaree Public School	Category 1
2736	Newcastle East Public School	Buffer
2748	Niangala Public School	Category 2
2751	Nimbin Central School	Category 1
2759	Nords Wharf Public School	Category 2
2761	Northbridge Public School	Buffer
2771	Nulkaba Public School	Buffer
2784	Nymboida Public School	Category 1
2789	Oakdale Public School	Category 1
2791	Oaklands Central School	Category 1
2794	Oakville Public School	Category 1
2799	Old Bar Public School	Category 1
2814	Orara Upper Public School	Category 1
2815	Orchard Hills Public School	Category 2
2818	Otford Public School	Category 1
2820	Ourimbah Public School	Category 1
2823	Oxley Island Public School	Category 1
2831	Pambula Public School	Category 1
2841	Wooli Public School	Category 2
2844	Paterson Public School	Category 1
2846	Paxton Public School	Category 1
2852	Peats Ridge Public School	Category 1
2855	Pelaw Main Public School	Buffer
2860	Penrose Public School	Category 1
2867	Picton Public School	Buffer
2886	Pleasant Hills Public School	Category 1
2896	Port Kembla Public School	Buffer
2900	Premer Public School	Buffer
2902	Pretty Beach Public School	Category 1
2917	Quaama Public School	Category 2
2926	Leppington Public School	Buffer
2933	Rand Public School	Category 1
2935	Rankins Springs Public School	Category 1
2976	The Rock Central School	Category 1
2980	Whian Whian Public School	Category 1
2983	Rocky River Public School	Buffer
2987	Rosebank Public School	Buffer
2996	Rosewood Public School	Category 1
2999	Rossmore Public School	Category 2
3031	St Marys Public School	Buffer
3035	Salt Ash Public School	Category 1
3045	Scarborough Public School	Category 2
3048	Seaham Public School	Buffer
3065	Shortland Public School	Buffer
3077	Sofala Public School	Buffer
3078	Somersby Public School	Category 1
3083	South West Rocks Public School	Category 1
3091	Spring Ridge Public School	Category 1
3095	Springwood Public School	Category 1
3103	Stanwell Park Public School	Buffer
3109	Stockinbingal Public School	Category 2
3112	Stokers Siding Public School	Category 1
3122	Stratheden Public School	Buffer
3122	Stratheden Public School	Category 1
3125	Stroud Public School	Category 1
3126	Stroud Road Public School	Buffer
3147	Tacoma Public School	Category 1
3148	Tahmoor Public School	Category 2
3153	Tallimba Public School	Category 1
3154	Tallong Public School	Category 1
3156	Tambar Springs Public School	Category 1
3159	Tanja Public School	Category 2
3173	Tathra Public School	Category 1
3175	Tea Gardens Public School	Category 1
3182	The Sir Henry Parkes Memorial Public School	Category 2
3221	Tintinhull Public School	Category 2
3222	Tirranna Public School	Category 1
3226	Tomerong Public School	Category 2
3236	Main Arm Upper Public School	Category 1
3247	Toronto Public School	Buffer
3250	Toukley Public School	Buffer
3252	Towamba Public School	Category 1
3255	Tregeagle Public School	Category 1
3260	Trunkey Public School	Category 1
3269	Tuggerah Public School	Category 1
3283	Tuntable Creek Public School	Category 1
3293	Tyalgum Public School	Category 1
3298	Uki Public School	Category 2
3300	Ulan Public School	Category 2
3302	Ulladulla Public School	Category 2
3304	Ulong Public School	Buffer
3311	Ungarie Central School	Category 1
3316	Urbenville Public School	Buffer
3316	Urbenville Public School	Category 1
3329	Vineyard Public School	Buffer
3332	North Wagga Public School	Buffer
3343	Walhallow Public School	Category 1
3346	Wallacia Public School	Category 2
3358	West Wallsend Public School	Buffer
3373	Wangi Wangi Public School	Buffer
3378	Wardell Public School	Buffer
3378	Wardell Public School	Category 1
3384	Warners Bay Public School	Buffer
3396	Waterfall Public School	Category 1
3412	Wee Jasper Public School	Buffer
3412	Wee Jasper Public School	Category 1
3422	Wentworth Falls Public School	Category 1
3445	Willawarrin Public School	Category 1
3454	Wilsons Creek Public School	Buffer
3457	Windellama Public School	Category 1
3457	Windellama Public School	Category 1
3461	Wingello Public School	Category 1
3470	Wisemans Ferry Public School	Buffer
3473	Wollar Public School	Category 2
3479	Wolumla Public School	Category 2
3487	Wongarbon Public School	Buffer
3503	Woolgoolga Public School	Buffer
3503	Woolgoolga Public School	Buffer
3522	Wyee Public School	Category 1
3528	Wyong Creek Public School	Buffer
3537	Yanderra Public School	Buffer
3564	Edgeworth Public School	Buffer
3566	Zig Zag Public School	Buffer
3578	Pottsville Beach Public School	Category 1
3615	Kemps Creek Public School	Category 1
3635	Scotts Head Public School	Category 2
3640	Afterlee Public School	Category 1
3643	Stuarts Point Public School	Category 1
3659	Sussex Inlet Public School	Category 1
3673	St Georges Basin Public School	Category 1
3678	Warwick Farm Public School	Buffer
3696	Soldiers Point Public School	Category 1
3719	Annangrove Public School	Category 1
3735	Woronora River Public School	Category 1
3744	Warragamba Public School	Buffer
3760	Upper Coopers Creek Public School	Category 1
3762	Wiripaang Public School	Category 2
3765	Bundeena Public School	Category 2
3797	Oatley West Public School	Buffer
3826	Gwynneville Public School	Buffer
3829	Jannali Public School	Category 1
3833	Wahroonga Public School	Category 1
3854	Hazelbrook Public School	Buffer
3855	Turramurra Public School	Buffer
3856	Wyrallah Road Public School	Buffer
3874	Kahibah Public School	Buffer
3885	Mount Colah Public School	Category 1
3896	Como West Public School	Buffer
3903	Glen Alice Public School	Category 2
3914	Grays Point Public School	Category 1
3919	Castle Cove Public School	Buffer
3923	Kapooka Public School	Category 1
3928	Cabramurra Public School	Category 1
3939	Mount Hutton Public School	Category 1
3943	Gordon West Public School	Buffer
3956	Beaumont Road Public School	Buffer
3958	Padstow Heights Public School	Buffer
3971	Beacon Hill Public School	Category 1
3984	Balgowlah North Public School	Buffer
3985	Gordon East Public School	Buffer
3987	Katoomba North Public School	Category 2
3988	Biraban Public School	Category 1
3996	Fern Bay Public School	Category 1
4004	Jannali East Public School	Category 1
4015	Mowbray Public School	Buffer
4017	Booragul Public School	Buffer
4021	Manly Vale Public School	Category 1
4022	Coal Point Public School	Category 1
4034	Eleebana Public School	Buffer
4038	Epping Heights Public School	Buffer
4049	Mount Kuring-gai Public School	Buffer
4050	Point Clare Public School	Category 1
4077	Illawong Public School	Category 1
4097	Tuggerawong Public School	Buffer
4106	Nowra Hill Public School	Category 1
4110	Central Mangrove Public School	Category 1
4111	Tweed Heads South Public School	Buffer
4117	Warnervale Public School	Category 2
4136	Garden Suburb Public School	Category 2
4148	Castlereagh Public School	Category 1
4149	North Haven Public School	Category 1
4155	Edgeworth Heights Public School	Buffer
4177	Albert Park Public School	Category 2
4185	Valentine Public School	Category 2
4195	Warrimoo Public School	Category 1
4196	Kempsey South Public School	Buffer
4197	Blacksmiths Public School	Buffer
4199	Elanora Heights Public School	Buffer
4200	Allambie Heights Public School	Buffer
4203	Kotara South Public School	Buffer
